n,x,y,z,a
2 , 0.03335 , 0.25499 , 0.02515 , 0.00368
4 , 0.05333 , 0.20392 , 0.03552 , 0.00204
6 , 0.07543 , 0.19227 , 0.04291 , 0.00132
8 , 0.09241 , 0.17665 , 0.04997 , 0.00093
10 , 0.10587 , 0.16190 , 0.05670 , 0.00086
12 , 0.11752 , 0.14977 , 0.06188 , 0.00069
14 , 0.12977 , 0.14176 , 0.06651 , 0.00061
16 , 0.13881 , 0.13268 , 0.07148 , 0.00048
18 , 0.14775 , 0.12553 , 0.07611 , 0.00040
20 , 0.15779 , 0.12066 , 0.08074 , 0.00036
22 , 0.16603 , 0.11542 , 0.08405 , 0.00033
24 , 0.17366 , 0.11066 , 0.08835 , 0.00029
26 , 0.18240 , 0.10729 , 0.09265 , 0.00032
28 , 0.19014 , 0.10385 , 0.09707 , 0.00029
30 , 0.19747 , 0.10067 , 0.10093 , 0.00024
32 , 0.20520 , 0.09807 , 0.10402 , 0.00023
34 , 0.21193 , 0.09533 , 0.10743 , 0.00022
36 , 0.21866 , 0.09289 , 0.11096 , 0.00019
38 , 0.22469 , 0.09043 , 0.11460 , 0.00018
40 , 0.23132 , 0.08844 , 0.11769 , 0.00016
42 , 0.23714 , 0.08635 , 0.12111 , 0.00016
44 , 0.24327 , 0.08456 , 0.12376 , 0.00015
46 , 0.24900 , 0.08278 , 0.12663 , 0.00017
48 , 0.25603 , 0.08157 , 0.12916 , 0.00016
50 , 0.26105 , 0.07985 , 0.13203 , 0.00012
52 , 0.26838 , 0.07893 , 0.13501 , 0.00015
54 , 0.27421 , 0.07766 , 0.13733 , 0.00012
56 , 0.27863 , 0.07609 , 0.14064 , 0.00012
58 , 0.28325 , 0.07469 , 0.14417 , 0.00012
60 , 0.28887 , 0.07364 , 0.14758 , 0.00012
62 , 0.29379 , 0.07248 , 0.15067 , 0.00011
64 , 0.29821 , 0.07128 , 0.15244 , 0.00011
66 , 0.30344 , 0.07034 , 0.15420 , 0.00012
68 , 0.30846 , 0.06941 , 0.15630 , 0.00010
70 , 0.31197 , 0.06822 , 0.15906 , 0.00011
72 , 0.31589 , 0.06717 , 0.16159 , 0.00008
74 , 0.32011 , 0.06625 , 0.16446 , 0.00009
76 , 0.32413 , 0.06534 , 0.16711 , 0.00008
78 , 0.32804 , 0.06446 , 0.16898 , 0.00009
80 , 0.33196 , 0.06362 , 0.17185 , 0.00008
82 , 0.33548 , 0.06276 , 0.17384 , 0.00009
84 , 0.33969 , 0.06206 , 0.17737 , 0.00008
86 , 0.34391 , 0.06140 , 0.17946 , 0.00008
88 , 0.34683 , 0.06055 , 0.18167 , 0.00007
90 , 0.34984 , 0.05975 , 0.18398 , 0.00008
92 , 0.35285 , 0.05899 , 0.18597 , 0.00006
94 , 0.35667 , 0.05839 , 0.18862 , 0.00008
96 , 0.36089 , 0.05789 , 0.19171 , 0.00008
98 , 0.36390 , 0.05722 , 0.19446 , 0.00007
